City_ID,City,County,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Rundu,NA,-17.9333,19.7667,66.56,27,41,7.29,scattered clouds
318,Naze,JP,28.3667,129.4833,79.72,78,100,4.12,overcast clouds
319,Esparta,HN,15.7437,-87.1766,77.14,90,89,4.29,overcast clouds
320,Luganville,VU,-15.5333,167.1667,78.4,70,97,5.57,overcast clouds
321,Tasiilaq,GL,65.6145,-37.6368,39.36,87,73,4.68,broken clouds
322,Natal,BR,-5.795,-35.2094,73.62,88,20,4.61,few clouds
323,Uribia,CO,11.7139,-72.266,82.31,74,52,13.11,broken clouds
324,Khatanga,RU,71.9667,102.5,64.36,45,69,7.65,broken clouds
325,Abalak,RU,58.1286,68.5944,50.16,81,100,3.09,overcast clouds
326,Slave Lake,CA,55.2834,-114.769,57.25,58,51,13.11,broken clouds
327,Baruun-Urt,MN,46.6806,113.2792,62.35,35,45,4.45,scattered clouds
328,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,86,74,8.25,broken clouds
329,Berlevag,NO,70.8578,29.0864,40.01,70,21,3.94,few clouds
330,Cidreira,BR,-30.1811,-50.2056,62.6,86,100,18.75,overcast clouds
331,Potiskum,NG,11.7091,11.0694,70.16,93,100,5.64,overcast clouds
332,Sawtell,AU,-30.3833,153.1,76.19,32,0,10.36,clear sky
333,Richards Bay,ZA,-28.783,32.0377,62.82,88,100,8.1,light rain
334,Morayfield,AU,-27.1167,152.95,76.35,30,0,7.38,clear sky
335,San Policarpo,PH,12.1791,125.5072,80.73,82,100,20.65,overcast clouds
336,Flexeiras,BR,-9.1975,-35.7808,71.37,85,61,0.89,broken clouds
337,Canico,PT,32.6333,-16.85,74.48,86,20,1.14,few clouds
338,Yamada,JP,39.4667,141.95,68.38,59,64,6.82,broken clouds
339,Santiago De Cao,PE,-7.9589,-79.2392,61.65,90,90,13.29,overcast clouds
340,Juliaca,PE,-15.5,-70.1333,43.99,79,94,2.3,overcast clouds
341,Saldanha,ZA,-33.0117,17.9442,39.25,76,0,8.01,clear sky
342,Skibbereen,IE,51.55,-9.2667,58.8,98,36,11.39,scattered clouds
343,Ugoofaaru,MV,5.6667,73.0,82.49,76,94,12.95,overcast clouds
